Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,61,61,0,0,0,0,0,0,0,0,61,61,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,66,66,0,0,0,0,0,0,0,0,66,66,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
